START DATE,END DATE,SUBJECT,LOCATION,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),Away,Home,Subject2,Away,Home,DESCRIPTION,SHOW TIME AS,CATEGORIES
5/3/2012,5/3/2012,MLB: Toronto Blue Jays @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Blue Jays,Angels,Blue Jays @ Angels,Toronto Blue Jays,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Philadelphia Phillies @ Atlanta Braves,"Turner Field - Atlanta, GA",9:10 AM,10:10 AM,11:10 AM,12:10 PM,12:10 PM,1:10 PM,2:10 PM,3:10 PM,Phillies,Braves,Phillies @ Braves,Philadelphia Phillies,Atlanta Braves,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Pittsburgh Pirates @ St. Louis Cardinals,"Busch Stadium - St. Louis, MO",10:45 AM,11:45 AM,12:45 PM,1:45 PM,1:45 PM,2:45 PM,3:45 PM,4:45 PM,Pirates,Cardinals,Pirates @ Cardinals,Pittsburgh Pirates,St. Louis Cardinals,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Miami Marlins @ San Francisco Giants,"AT&T Park - San Francisco, CA",12:45 PM,1:45 PM,2:45 PM,3:45 PM,3:45 PM,4:45 PM,5:45 PM,6:45 PM,Marlins,Giants,Marlins @ Giants,Miami Marlins,San Francisco Giants,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Arizona Diamondbacks @ Washington Nationals,"Nationals Park - Washington, DC",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,D-backs,Nationals,D-backs @ Nationals,Arizona Diamondbacks,Washington Nationals,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Seattle Mariners @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Mariners,Rays,Mariners @ Rays,Seattle Mariners,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Chicago Cubs @ Cincinnati Reds,"Great American Ball  Park - Cincinnati, OH",9:35 AM,10:35 AM,11:35 AM,12:35 PM,12:35 PM,1:35 PM,2:35 PM,3:35 PM,Cubs,Reds,Cubs @ Reds,Chicago Cubs,Cincinnati Reds,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: New York Yankees @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Yankees,Royals,Yankees @ Royals,New York Yankees,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/3/2012,5/3/2012,MLB: Cleveland Indians @ Chicago White Sox,"US Cellular Field - Chicago, IL",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Indians,White Sox,Indians @ White Sox,Cleveland Indians,Chicago White Sox,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Toronto Blue Jays @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Blue Jays,Angels,Blue Jays @ Angels,Toronto Blue Jays,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: St. Louis Cardinals @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Cardinals,Astros,Cardinals @ Astros,St. Louis Cardinals,Houston Astros,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Los Angeles Dodgers @ Chicago Cubs,"Wrigley Field - Chicago, IL",11:20 AM,12:20 PM,1:20 PM,2:20 PM,2:20 PM,3:20 PM,4:20 PM,5:20 PM,Dodgers,Cubs,Dodgers @ Cubs,Los Angeles Dodgers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Milwaukee Brewers @ San Francisco Giants,"AT&T Park - San Francisco, CA",7:15 PM,8:15 PM,9:15 PM,10:15 PM,10:15 PM,11:15 PM,11:59 PM,11:59 PM,Brewers,Giants,Brewers @ Giants,Milwaukee Brewers,San Francisco Giants,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Texas Rangers @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rangers,Indians,Rangers @ Indians,Texas Rangers,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Minnesota Twins @ Seattle Mariners,"Safeco Field - Seattle, WA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Twins,Mariners,Twins @ Mariners,Minnesota Twins,Seattle Mariners,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Arizona Diamondbacks @ New York Mets,"Citi Field - Flushing, NY",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,D-backs,Mets,D-backs @ Mets,Arizona Diamondbacks,New York Mets,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Philadelphia Phillies @ Washington Nationals,"Nationals Park - Washington, DC",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Phillies,Nationals,Phillies @ Nationals,Philadelphia Phillies,Washington Nationals,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Miami Marlins @ San Diego Padres,"Petco Park - San Diego, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Marlins,Padres,Marlins @ Padres,Miami Marlins,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Cincinnati Reds @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Reds,Pirates,Reds @ Pirates,Cincinnati Reds,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Oakland Athletics @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Athletics,Rays,Athletics @ Rays,Oakland Athletics,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Baltimore Orioles @ Boston Red Sox,"Fenway Park - Boston, MA",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Orioles,Red Sox,Orioles @ Red Sox,Baltimore Orioles,Boston Red Sox,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Atlanta Braves @ Colorado Rockies,"Coors Field - Denver, CO",5:40 PM,6:40 PM,7:40 PM,8:40 PM,8:40 PM,9:40 PM,10:40 PM,11:40 PM,Braves,Rockies,Braves @ Rockies,Atlanta Braves,Colorado Rockies,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: New York Yankees @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Yankees,Royals,Yankees @ Royals,New York Yankees,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/4/2012,5/4/2012,MLB: Chicago White Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,White Sox,Tigers,White Sox @ Tigers,Chicago White Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Toronto Blue Jays @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",6:05 PM,7:05 PM,8:05 PM,9:05 PM,9:05 PM,10:05 PM,11:05 PM,11:59 PM,Blue Jays,Angels,Blue Jays @ Angels,Toronto Blue Jays,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: St. Louis Cardinals @ Houston Astros,"Minute Maid Park - Houston, TX",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Cardinals,Astros,Cardinals @ Astros,St. Louis Cardinals,Houston Astros,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Los Angeles Dodgers @ Chicago Cubs,"Wrigley Field - Chicago, IL",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Dodgers,Cubs,Dodgers @ Cubs,Los Angeles Dodgers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Milwaukee Brewers @ San Francisco Giants,"AT&T Park - San Francisco, CA",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Brewers,Giants,Brewers @ Giants,Milwaukee Brewers,San Francisco Giants,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Texas Rangers @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rangers,Indians,Rangers @ Indians,Texas Rangers,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Minnesota Twins @ Seattle Mariners,"Safeco Field - Seattle, WA",6:10 PM,7:10 PM,8:10 PM,9:10 PM,9:10 PM,10:10 PM,11:10 PM,11:59 PM,Twins,Mariners,Twins @ Mariners,Minnesota Twins,Seattle Mariners,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Arizona Diamondbacks @ New York Mets,"Citi Field - Flushing, NY",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,D-backs,Mets,D-backs @ Mets,Arizona Diamondbacks,New York Mets,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Philadelphia Phillies @ Washington Nationals,"Nationals Park - Washington, DC",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Phillies,Nationals,Phillies @ Nationals,Philadelphia Phillies,Washington Nationals,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Miami Marlins @ San Diego Padres,"Petco Park - San Diego, CA",5:35 PM,6:35 PM,7:35 PM,8:35 PM,8:35 PM,9:35 PM,10:35 PM,11:35 PM,Marlins,Padres,Marlins @ Padres,Miami Marlins,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Cincinnati Reds @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Reds,Pirates,Reds @ Pirates,Cincinnati Reds,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Oakland Athletics @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Athletics,Rays,Athletics @ Rays,Oakland Athletics,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Baltimore Orioles @ Boston Red Sox,"Fenway Park - Boston, MA",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,Orioles,Red Sox,Orioles @ Red Sox,Baltimore Orioles,Boston Red Sox,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Atlanta Braves @ Colorado Rockies,"Coors Field - Denver, CO",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Braves,Rockies,Braves @ Rockies,Atlanta Braves,Colorado Rockies,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: New York Yankees @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",4:10 PM,5:10 PM,6:10 PM,7:10 PM,7:10 PM,8:10 PM,9:10 PM,10:10 PM,Yankees,Royals,Yankees @ Royals,New York Yankees,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/5/2012,5/5/2012,MLB: Chicago White Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,White Sox,Tigers,White Sox @ Tigers,Chicago White Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Toronto Blue Jays @ Los Angeles Angels,"Angel Stadium - Los Angeles, CA",12:35 PM,1:35 PM,2:35 PM,3:35 PM,3:35 PM,4:35 PM,5:35 PM,6:35 PM,Blue Jays,Angels,Blue Jays @ Angels,Toronto Blue Jays,Los Angeles Angels,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: St. Louis Cardinals @ Houston Astros,"Minute Maid Park - Houston, TX",11:05 AM,12:05 PM,1:05 PM,2:05 PM,2:05 PM,3:05 PM,4:05 PM,5:05 PM,Cardinals,Astros,Cardinals @ Astros,St. Louis Cardinals,Houston Astros,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Los Angeles Dodgers @ Chicago Cubs,"Wrigley Field - Chicago, IL",11:20 AM,12:20 PM,1:20 PM,2:20 PM,2:20 PM,3:20 PM,4:20 PM,5:20 PM,Dodgers,Cubs,Dodgers @ Cubs,Los Angeles Dodgers,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Milwaukee Brewers @ San Francisco Giants,"AT&T Park - San Francisco, CA",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Brewers,Giants,Brewers @ Giants,Milwaukee Brewers,San Francisco Giants,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Texas Rangers @ Cleveland Indians,"Progressive Field - Cleveland, OH",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,Rangers,Indians,Rangers @ Indians,Texas Rangers,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Minnesota Twins @ Seattle Mariners,"Safeco Field - Seattle, WA",1:10 PM,2:10 PM,3:10 PM,4:10 PM,4:10 PM,5:10 PM,6:10 PM,7:10 PM,Twins,Mariners,Twins @ Mariners,Minnesota Twins,Seattle Mariners,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Arizona Diamondbacks @ New York Mets,"Citi Field - Flushing, NY",10:10 AM,11:10 AM,12:10 PM,1:10 PM,1:10 PM,2:10 PM,3:10 PM,4:10 PM,D-backs,Mets,D-backs @ Mets,Arizona Diamondbacks,New York Mets,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Philadelphia Phillies @ Washington Nationals,"Nationals Park - Washington, DC",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Phillies,Nationals,Phillies @ Nationals,Philadelphia Phillies,Washington Nationals,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Miami Marlins @ San Diego Padres,"Petco Park - San Diego, CA",1:05 PM,2:05 PM,3:05 PM,4:05 PM,4:05 PM,5:05 PM,6:05 PM,7:05 PM,Marlins,Padres,Marlins @ Padres,Miami Marlins,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Cincinnati Reds @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",10:35 AM,11:35 AM,12:35 PM,1:35 PM,1:35 PM,2:35 PM,3:35 PM,4:35 PM,Reds,Pirates,Reds @ Pirates,Cincinnati Reds,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Oakland Athletics @ Tampa Bay Rays,"Tropicana Field - St. Petersburg, FL",10:40 AM,11:40 AM,12:40 PM,1:40 PM,1:40 PM,2:40 PM,3:40 PM,4:40 PM,Athletics,Rays,Athletics @ Rays,Oakland Athletics,Tampa Bay Rays,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Baltimore Orioles @ Boston Red Sox,"Fenway Park - Boston, MA",10:35 AM,11:35 AM,12:35 PM,1:35 PM,1:35 PM,2:35 PM,3:35 PM,4:35 PM,Orioles,Red Sox,Orioles @ Red Sox,Baltimore Orioles,Boston Red Sox,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Atlanta Braves @ Colorado Rockies,"Coors Field - Denver, CO",12:10 PM,1:10 PM,2:10 PM,3:10 PM,3:10 PM,4:10 PM,5:10 PM,6:10 PM,Braves,Rockies,Braves @ Rockies,Atlanta Braves,Colorado Rockies,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: New York Yankees @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",11:10 AM,12:10 PM,1:10 PM,2:10 PM,2:10 PM,3:10 PM,4:10 PM,5:10 PM,Yankees,Royals,Yankees @ Royals,New York Yankees,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/6/2012,5/6/2012,MLB: Chicago White Sox @ Detroit Tigers,"Comerica Park - Detroit, MI",10:05 AM,11:05 AM,12:05 PM,1:05 PM,1:05 PM,2:05 PM,3:05 PM,4:05 PM,White Sox,Tigers,White Sox @ Tigers,Chicago White Sox,Detroit Tigers,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Miami Marlins @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Marlins,Astros,Marlins @ Astros,Miami Marlins,Houston Astros,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Cincinnati Reds @ Milwaukee Brewers,"Miller Park - Milwaukee, WI",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Reds,Brewers,Reds @ Brewers,Cincinnati Reds,Milwaukee Brewers,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Atlanta Braves @ Chicago Cubs,"Wrigley Field - Chicago, IL",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Braves,Cubs,Braves @ Cubs,Atlanta Braves,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: St. Louis Cardinals @ Arizona Diamondbacks,"Chase Field - Phoenix, AZ",6:40 PM,7:40 PM,8:40 PM,9:40 PM,9:40 PM,10:40 PM,11:40 PM,11:59 PM,Cardinals,D-backs,Cardinals @ D-backs,St. Louis Cardinals,Arizona Diamondbacks,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: San Francisco Giants @ Los Angeles Dodgers,"Dodger Stadium - Los Angeles, CA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Giants,Dodgers,Giants @ Dodgers,San Francisco Giants,Los Angeles Dodgers,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Chicago White Sox @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,White Sox,Indians,White Sox @ Indians,Chicago White Sox,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Detroit Tigers @ Seattle Mariners,"Safeco Field - Seattle, WA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Tigers,Mariners,Tigers @ Mariners,Detroit Tigers,Seattle Mariners,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Texas Rangers @ Baltimore Orioles,"Camden Yards - Baltimore, MD",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rangers,Orioles,Rangers @ Orioles,Texas Rangers,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Colorado Rockies @ San Diego Padres,"Petco Park - San Diego, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Rockies,Padres,Rockies @ Padres,Colorado Rockies,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: New York Mets @ Philadelphia Phillies,"Citizens Bank Park - Philadelphia, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Mets,Phillies,Mets @ Phillies,New York Mets,Philadelphia Phillies,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Boston Red Sox @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Red Sox,Royals,Red Sox @ Royals,Boston Red Sox,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/7/2012,5/7/2012,MLB: Los Angeles Angels @ Minnesota Twins,"Target Field - Minneapolis, MN",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Angels,Twins,Angels @ Twins,Los Angeles Angels,Minnesota Twins,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Miami Marlins @ Houston Astros,"Minute Maid Park - Houston, TX",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Marlins,Astros,Marlins @ Astros,Miami Marlins,Houston Astros,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Toronto Blue Jays @ Oakland Athletics,"Oakland Coliseum - Oakland, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Blue Jays,Athletics,Blue Jays @ Athletics,Toronto Blue Jays,Oakland Athletics,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Cincinnati Reds @ Milwaukee Brewers,"Miller Park - Milwaukee, WI",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Reds,Brewers,Reds @ Brewers,Cincinnati Reds,Milwaukee Brewers,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Atlanta Braves @ Chicago Cubs,"Wrigley Field - Chicago, IL",5:05 PM,6:05 PM,7:05 PM,8:05 PM,8:05 PM,9:05 PM,10:05 PM,11:05 PM,Braves,Cubs,Braves @ Cubs,Atlanta Braves,Chicago Cubs,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: St. Louis Cardinals @ Arizona Diamondbacks,"Chase Field - Phoenix, AZ",6:40 PM,7:40 PM,8:40 PM,9:40 PM,9:40 PM,10:40 PM,11:40 PM,11:59 PM,Cardinals,D-backs,Cardinals @ D-backs,St. Louis Cardinals,Arizona Diamondbacks,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: San Francisco Giants @ Los Angeles Dodgers,"Dodger Stadium - Los Angeles, CA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Giants,Dodgers,Giants @ Dodgers,San Francisco Giants,Los Angeles Dodgers,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Chicago White Sox @ Cleveland Indians,"Progressive Field - Cleveland, OH",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,White Sox,Indians,White Sox @ Indians,Chicago White Sox,Cleveland Indians,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Detroit Tigers @ Seattle Mariners,"Safeco Field - Seattle, WA",7:10 PM,8:10 PM,9:10 PM,10:10 PM,10:10 PM,11:10 PM,11:59 PM,11:59 PM,Tigers,Mariners,Tigers @ Mariners,Detroit Tigers,Seattle Mariners,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Texas Rangers @ Baltimore Orioles,"Camden Yards - Baltimore, MD",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rangers,Orioles,Rangers @ Orioles,Texas Rangers,Baltimore Orioles,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Colorado Rockies @ San Diego Padres,"Petco Park - San Diego, CA",7:05 PM,8:05 PM,9:05 PM,10:05 PM,10:05 PM,11:05 PM,11:59 PM,11:59 PM,Rockies,Padres,Rockies @ Padres,Colorado Rockies,San Diego Padres,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: New York Mets @ Philadelphia Phillies,"Citizens Bank Park - Philadelphia, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Mets,Phillies,Mets @ Phillies,New York Mets,Philadelphia Phillies,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Washington Nationals @ Pittsburgh Pirates,"PNC Park - Pittsburgh, PA",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Nationals,Pirates,Nationals @ Pirates,Washington Nationals,Pittsburgh Pirates,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Boston Red Sox @ Kansas City Royals,"Kauffman Stadium - Kansas City, MO",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Red Sox,Royals,Red Sox @ Royals,Boston Red Sox,Kansas City Royals,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Los Angeles Angels @ Minnesota Twins,"Target Field - Minneapolis, MN",5:10 PM,6:10 PM,7:10 PM,8:10 PM,8:10 PM,9:10 PM,10:10 PM,11:10 PM,Angels,Twins,Angels @ Twins,Los Angeles Angels,Minnesota Twins,www.MySportsCal.com,FREE,MLB2012
5/8/2012,5/8/2012,MLB: Tampa Bay Rays @ New York Yankees,"Yankee Stadium - Bronx, NY",4:05 PM,5:05 PM,6:05 PM,7:05 PM,7:05 PM,8:05 PM,9:05 PM,10:05 PM,Rays,Yankees,Rays @ Yankees,Tampa Bay Rays,New York Yankees,www.MySportsCal.com,FREE,MLB2012
